stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,4.09,0,8.17,12.26,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,10.7,1.07,3.21,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,0,0,0,0,0,0,0,1.34,10.71,0,4.02,2.68,0,0,0,0,1.34,0,0,0,1.34
3Month,0,0.64,3.2,0.64,0.96,0.64,0.96,2.24,0.32,0.64,1.28,0.96,0,0,0,0.96,0,0,1.6,0,0.32,0.64,0.64,0.64
22Month,0,0,1.64,0,0,0.55,3.83,1.64,0,0.55,0.55,1.09,0.55,0,0,0.55,0,0.55,0,0.55,0,0,0,0
