stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,9.63,0,0,0,0
21Day,1.34,0,0,1.34,0,0,2.68,13.39,0,1.34,0,0
3Month,0,0.32,0.32,0,0.32,0.32,0,0,0,0,0.32,0.32
