stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,20.43,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,11.77,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,18.19,0,2.14,0,0,0,0,0,1.07,0,0,6.42,0,0,0,0,0,0,0
21Day,0,5.35,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,1.34
3Month,0,549.99,0.32,67.83,0.64,0,1.28,1.28,3.2,6.72,52.79,8,0.32,35.51,2.56,27.2,5.76,20.8,2.56,0.32,2.88,0.96,1.6,0.32,1.28,0,0.64,2.24,22.72,0.32,0.32,2.56,8,3.2
22Month,0,150.33,2.19,14.21,0,0,0.55,0,4.37,3.83,65.6,0,0.55,34.99,1.64,4.92,1.09,13.67,1.09,1.64,0,0,0,0,0.55,1.09,0,0,18.59,1.09,0,0,0,0
