stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,2.14,2.14,0,0,2.14,0,0,0,2.14,0,0,0
21Day,0,1.34,2.68,0,0,0,0,0,0,0,1.34,0,0,2.68,1.34,5.35,0,0,1.34,0,0,0,0,0,1.34,1.34,4.02,0,0,0,0,0
3Month,0.32,1.6,7.68,0,4.48,2.24,7.36,0.32,24,3.2,2.56,4.16,1.28,1.28,3.2,13.44,1.92,0,1.28,1.92,0.64,0.32,0.64,0.96,0,0.96,175.01,0.32,0.32,0.96,183.97,8.96
22Month,0,3.28,3.28,1.64,1.09,1.09,1.09,0,54.67,1.64,2.19,2.73,0,0,2.19,13.67,0,2.73,0.55,0,0,0,0,1.64,0,0,17.49,1.09,0,0,0,0
