stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,19.26,0,1.07,7.49,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,4.28,2.14,0,0,2.14,0,0,0,0
21Day,16.06,0,0,17.4,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,5.35,4.02,0,0,1.34,0,0,0,0
3Month,0.64,0,0.96,0,0.32,23.68,0,9.6,0.64,0,0.96,0.64,0.32,13.12,0.64,0,0.32,0.64,0.32,0,0.64,0,0,0.32,2.56,0,0.64
22Month,0,1.09,0.55,0.55,0,14.76,0.55,39.36,0,1.09,1.09,0,0.55,3.28,0,0.55,0,0,0,0,0,0.55,0,0,4.92,0.55,0
