stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,32.09,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,26.77,1.34,0,0,0,0,0,0,0,2.68,1.34,0,1.34,0,0,0
3Month,22.72,0,0.32,0.32,2.24,4.8,0.32,0.64,0.32,0.64,0,0.64,0,0.32,0.32,0
22Month,1.09,0,0,0,13.67,0,2.19,2.19,0,0,0,0,0,0,0,2.19
