stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,57.21,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,3.21,0,0,0,0,23.54,11.77,0,0,0,2.14,0,0,0,0,0
21Day,0,0,4.02,1.34,0,0,1.34,0,0,0,0,0,2.68,0,1.34,4.02,8.03,0,0,0,0,5.35,9.37,0,1.34,0,1.34,1.34,0,0,0,0
3Month,0,0,2.24,0,0,0,0,0,1.6,0,0.96,1.28,0,0.32,0.32,0,1.92,0.64,0,0,0.32,0,0,0.32,0,0,0,0,10.56,0.64,3.52,0.64
22Month,0,0.55,6.01,0,0,0.55,1.09,1.09,2.73,1.64,21.32,1.64,4.92,4.37,1.09,5.47,5.47,1.64,0.55,1.09,0,0,0,0.55,0,0.55,0,0,18.59,0.55,0,2.73
