stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0.32,0.32,2.56,0.64,0.32,2.88,0.64,0.64,1.28,0.64,0.64,0,0.32,0,0,0.32,0,0,8.96,14.08,0.64
22Month,0,0,0.55,1.09,1.09,12.57,1.64,0,0,0,0,0.55,0,0.55,0,0,0,0.55,1.64,0,0
