stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,1.07,0,0,0,0,0,0,10.7,0,0,0,3.21,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,6.69,64.25,0,2.68,0,8.03,1.34,33.46,5.35,2.68,1.34,2.68,0,1.34,0,8.03,2.68,5.35,0,5.35,1.34,0,1.34,0
3Month,0,0.32,4.8,0.32,6.4,0,61.75,0,12.48,0.32,3.2,0,0.32,0.64,1.6,0.32,0,0,0.32,0,0,1.6,0.64,0,0.32
22Month,0.55,3.83,8.75,0.55,12.57,0.55,143.22,0,30.07,0,0,0,2.19,4.37,3.28,0,0,0,1.09,0.55,0,0,0,0,0
