stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Nephron_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
21Day,0,4.02,0,0,0,0,0,0,5.35,0,0,0,0,0,0
3Month,0.32,6.72,0,0.32,2.88,0.32,0,0.96,96.3,0.32,0,0.64,0,0.32,0
22Month,0.55,4.37,0.55,0,6.56,0,1.09,0.55,120.26,0,0.55,0,0.55,0,0.55
