stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,1.07,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,1.34,1.34,0,0,0
3Month,0.32,0,0.96,0,0,6.08,0.64,0.32,0.32,0.32,0.96,0,0,0.32,0,0,0.32,0.96,0,0,0,0.64,0.32
22Month,0.55,0.55,1.09,0.55,1.64,18.04,0.55,0.55,1.09,0.55,0.55,0.55,0.55,0,0,0,0,1.09,1.09,0,1.09,0,0.55
