stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,0,0,8.56,1.07,17.12,0,0,0,0,0,5.35,0,1.07,0,1.07,0,0,0,0,0,0
21Day,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34
3Month,0,0.32,43.51,0.32,0.32,0.96,4.16,0,7.04,1.6,0,2.88,1.6,18.24,17.6,51.51,0.32,0,0.32,13.44,0.64,0.32,0.64,0,0.32,0.32,36.47,0,0,1.28,0.32
22Month,0,0,7.65,0,0,0,4.92,1.09,9.84,0,0.55,0,0,2.19,50.29,4.92,0,0.55,0.55,0.55,0,0,0.55,0.55,0,0,36.08,0.55,0.55,0,0
