stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,98.07,0,0,16.35,0,0,0,0,0,0,0,0,0,4.09,371.86,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,197.91,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,13.91,0,0,0,0,16.05,6.42,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,136.53,0,0,4.02,0,0,0,0,0,0,0,0,6.69,0,5.35,0,0,0,0,5.35,5.35,0,1.34,5.35,0,0,0,0,1.34,0,0
3Month,901.62,3.84,0,6.4,0,1.28,2.88,0,9.92,4.48,2.88,3.2,2.56,1.92,3.2,0.96,0,0.64,0.32,0.96,0,0.64,0.32,0.32,1.6,3.52,0.32,0,0,2.24,1.28
22Month,983.98,0.55,0.55,0.55,0,0.55,3.83,1.09,19.68,0.55,4.37,0.55,0.55,2.19,2.19,0.55,0.55,0,0,0,0,0,0.55,0,0,10.39,0.55,0,0,0,0
