stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0.96,0,7.36,0,0,0.64,2.24,146.22,1.6,8,3.52,1.28,1.6,1.92,0.96,0,18.24,0,0.32,0.96,1.28,4.16,0,1.28,0.96,12.16
22Month,5.47,1.09,3.83,1.64,0.55,0,2.19,425.84,1.64,24.6,0.55,0,1.09,3.28,12.03,0.55,0.55,0,1.09,1.64,0,1.09,0.55,0,0,0.55
