stage,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,19.26,1.07,1.07,1.07
21Day,0,0,0,1.34,0,10.71,2.68,0,0
22Month,9.84,0,1.09,0,0.55,0,0,0,0
