stage,Epithelial_cell,Erythrocyte,Granulocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,0
72hpf,0,2.14,0,1.07,1.07,5.35,3.21,0,0,0
21Day,1.34,0,0,0,0,1.34,2.68,1.34,0,0
3Month,0.32,0,0.32,0,0,0,0,0,0,0.32
