stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,1.07,0,1.07,0,16.05,5.35,3.21,0
21Day,0,1.34,0,2.68,8.03,2.68,0,1.34
