stage,Epithelial_cell,Granulocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
72hpf,0,0,0,0,0,3.21,1.07,0
21Day,1.34,0,0,1.34,1.34,2.68,0,1.34
22Month,0,0.55,1.09,0,0.55,0,0,0
