stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0
21Day,1.34,1.34,1.34,0,0,0,0,1.34,0,4.02,0,4.02,0,1.34,0,0
3Month,0,0,0,0.32,0.32,0.64,0.32,0,0.64,0,0,0,0,0,0.32,0.32
22Month,0,0,0,0,0,1.09,0,0,0,0,0.55,0,0,0,0,0
