stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,16.35,0,4.09,0,12.26,0,77.64
72hpf,0,0,0,0,0,1.07,0
21Day,0,1.34,0,1.34,0,0,0
