stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,4.28,2.14,0,0,0,1.07,0,0,0,0,0,5.35,0,0,0,0,9.63,5.35,1.07,0,0,0,0,0,0,0,0,0
21Day,0,28.11,8.03,2.68,1.34,0,0,0,0,0,1.34,0,2.68,9.37,0,6.69,0,0,21.42,9.37,1.34,4.02,1.34,1.34,0,2.68,1.34,0,0,0
3Month,0.64,13.76,0,0,0,6.4,0.96,0,6.08,1.92,0.64,1.28,0.32,15.68,2.24,3.52,0.64,0.64,0,0.64,2.88,0,0.32,0.32,2.88,0,0,0.32,0.64,2.88
22Month,0.55,7.65,0,0,0,1.64,0,0,14.76,0.55,0.55,0.55,0,1.64,1.64,1.64,0,0.55,0,0,8.75,0,0,0.55,2.73,0,0,0,0,0.55
