stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,0,0,16.35,4.09,24.52,0,0,12.26,143.02,0,0,0,0,0,0,0
72hpf,2.14,0,4.28,0,0,0,0,2.14,8.56,1.07,2.14,0,0,22.47,10.7,0,0,0,2.14,0,0,0
21Day,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,1.6,0.32,4.16,1.6,1.28,0,0,0,0,0.32,0.32,0.32,0.32,0,0.96,68.47,0,0.64,48.95,1.28
22Month,0,0,0,0,2.19,0,0.55,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0
