stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,1.07,0,0,0,0,0,0,3.21,0,3.21,284.56,41.72,1.07,3.21,0,0,7.49,0,1.07,0,0
21Day,2.68,10.71,8.03,1.34,0,0,1.34,2.68,2.68,5.35,1.34,10.71,164.64,22.76,0,1.34,5.35,0,1.34,4.02,5.35,0,1.34
3Month,0.32,2.88,0,0,0.32,0.32,0.64,0,0.32,0.64,0.32,0.64,0.64,0,0,0,0.32,0.64,1.6,0.32,0,0.32,0
22Month,0,0,0,0,0,0.55,2.19,0,0,0,0.55,0,0,0,0,0,0,0,1.64,0,0,0,0
