stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,6.42,0,2.14,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,8.56,0,0,0,0,0,0,0,0
21Day,12.05,0,13.39,0,0,0,0,0,0,0,4.02,1.34,0,0,0,1.34,2.68,0,5.35,0,0,0,1.34,0,2.68,0,0
3Month,0.96,0.32,30.72,0,0,0,0,2.24,0.32,0.96,2.24,1.28,0.64,1.92,0.32,0,0.32,0.32,0,0,0,0,0.64,10.56,0,2.24,0.32
22Month,0,0,0.55,0,1.64,3.28,0,8.75,0,1.09,0,0,0.55,0.55,0,0,0.55,0,0,0,0.55,0.55,0,4.37,1.64,0,0
