stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,32.69,0,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,6.42,9.63,20.33,1.07,0,0,0,0,16.05,7.49,0,0,6.42,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,0,8.03,1.34,0,0,0,0,0,0,1.34,1.34,0,0,12.05,44.17,2.68,0,0,1.34,0,5.35,6.69,0,1.34,1.34,1.34,1.34,0,0,1.34,0,0,1.34
3Month,0,0.96,0.32,9.92,0,0,0,5.12,14.08,0,5.12,14.08,0.64,1.92,0.32,3.2,62.71,2.88,0.32,0,1.6,0,0.96,0,0.96,0,0.64,0.64,11.52,0.32,0,0,0.32,0.32,8.64
22Month,0,5.47,2.19,18.04,0.55,3.28,1.09,3.28,25.69,11.48,84.18,5.47,27.88,3.83,0.55,2.19,119.17,7.11,0,2.73,1.64,0.55,1.09,0,3.28,0.55,0,1.09,36.08,0.55,0.55,0,0.55,0,104.96
