stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,8.17,4.09,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,1.07,0,0,1.07,0,0,1.07,0,0,0,4.28,0,1.07,42.79,1.07,3.21,0,1.07,0,0,10.7,4.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,9.37,1.34,1.34,99.05,0,6.69,0,9.37,0,1.34,4.02,0,10.71,1.34,101.73,40.16,10.71,65.59,26.77,18.74,0,0,2.68,0,20.08,5.35,1.34,0,0,9.37,10.71,1.34,1.34,1.34,1.34,0,0,48.19
3Month,0.64,6.72,11.52,172.45,0.96,0,2.56,4.8,0.32,44.79,33.27,0,291.47,35.19,16.32,327.31,13.76,26.56,54.39,15.04,1.28,0.96,21.76,6.4,3.2,0.32,7.36,0.64,0,1.28,8.96,150.38,0,0,0,9.92,79.35,103.02
22Month,0,15.31,26.79,125.73,0,0,3.83,4.37,0,53.03,84.73,18.59,499.1,22.96,48.65,777.34,5.47,14.21,107.14,19.13,0.55,11.48,12.03,0.55,3.83,0,10.93,2.19,1.64,0,3.83,97.3,1.09,0,0.55,2.19,0,63.96
