stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,4.28,0,5.35,0,0,0,6.42,1.07,0,1.07,4.28,0,0,0,1.07,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,1.34,1.34,0,1.34,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0
3Month,0,0,6.4,2.24,3.2,0,10.24,0.96,0,3.2,0.64,4.48,1.92,2.24,0.96,0,0,0,0,0.32,0.32,0,1.28,0.96,0.32,0,0.96,8,0.32
22Month,0,1.09,1.09,0.55,2.19,1.09,48.65,1.09,0,7.11,0,0,3.83,2.73,0,1.64,1.64,0.55,0.55,0,1.09,0,0,0.55,0,0,0,0,1.09
