stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,9.37,0,0,2.68,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0
3Month,31.67,0,6.4,0,0,0.32,0.64,0,3.2,0.96,3.2,3.84,0.96,3.84,0.96,0.64,0,0.32,0,0.32,0.32
22Month,32.25,0.55,2.19,0,0.55,0.55,1.09,2.19,8.2,0.55,0.55,0.55,0,2.73,0.55,0,0,0,0.55,0,0
