stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,3.84,0.32,0,0.32,1.28,0.96,0,4.16,1.92,0,4.16,0,1.28,2.24,0,0,1.28,0.96,0,0.32,0,0,1.6,197.73,0.64,12.8,0.96
22Month,0,0.55,0.55,2.73,0,0,0,0.55,0.55,1.64,9.84,1.09,0.55,2.73,0,0.55,0,1.64,0.55,0,0,0,0,12.03,0.55,0,36.08,0,0,0.55
