stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,10.7,0,1.07,13.91,6.42,1.07,0,0,0,0,0,2.14,8.56,1.07,555.22,0,1.07,0,136.93,110.19,0,20.33,0,0,6.42,2.14,2.14,0,0,0
21Day,2.68,0,12.05,0,9.37,1.34,0,0,8.03,0,4.02,1.34,1.34,17.4,4.02,485.89,0,0,1.34,56.22,30.79,0,4.02,4.02,0,4.02,1.34,2.68,2.68,0,6.69
3Month,0,0,1.6,0,0,0,0,0,1.6,0.32,0,1.28,0.32,1.28,0.64,14.72,0.32,0,0,0.32,0,0.32,0.32,0,5.76,0,0,0,0,3.84,0
22Month,0,2.19,1.64,0,0,0,0.55,0.55,13.67,0,1.09,0.55,0,0.55,1.64,6.56,0.55,0.55,0,0,1.09,0,0.55,0,1.64,0.55,0.55,0,0,0,1.09
