stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,32.69,0,4.09,4.09,0,0,0,0,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,11.77,1.07,0,1.07,0,5.35,0,0,4.28,13.91,0,1.07,0,3.21,2.14,0,22.47,0,0,0,0
21Day,1.34,0,0,4.02,0,2.68,0,1.34,0,0,2.68,0,2.68,4.02,2.68,2.68,0,2.68,0,0,8.03,0,1.34,6.69,0,0,0,0,1.34,0,2.68,0,1.34,0,1.34
3Month,0,0.32,0.96,65.27,0,0,4.8,2.56,0,0,10.56,2.56,0.32,9.6,3.52,0.32,1.92,6.72,2.56,0,2.56,1.28,0.64,0,1.92,2.24,0,0.64,0,18.24,1.6,0,0,167.33,1.92
22Month,0,0,6.01,85.28,0,0,17.49,41.55,32.8,0,232.33,2.19,1.09,110.42,4.37,0,6.56,20.77,0.55,3.28,7.11,1.64,0,0,6.01,4.92,0.55,0.55,0.55,49.2,18.59,0.55,0.55,0.55,1.09
