stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,1.07,0,1.07,0,2.14,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,1.34,13.39,0,18.74,0,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,0,1.92,0.64,1.28,5.12,0.64,43.51,0.32,0,0,0.32,0.32,0.32,0.64,0,0,0.32,0.96
22Month,0.55,0,0,0,2.19,2.73,1.09,10.39,0,17.49,0,0,0,0,0,0,0,0,1.09,0,0.55
