stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,4.28,0,0,0,0,1.07,1.07,0
21Day,2.68,0,2.68,2.68,1.34,0,0,0
3Month,0.32,0,0,0,0,0,0,0.32
22Month,0,1.09,0,0,0,0,0,0
