stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,0
3Month,0.64,0,0.32,0.32,1.28,0.64,0.32,0,0,0,0.32,9.6,0.32,23.68
22Month,0,0,0,0,1.09,0,0,0.55,0,0,0,5.47,0,0
