stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,2.14,4.28,4.28,27.81,1.07,0,0,0,0,0,0,0,0
21Day,0,0,10.71,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,5.35,2.68,1.34,24.09,0,0,0,1.34,0,1.34,0,0,0
3Month,0.96,0.32,9.28,0,2.56,3.52,0,0,10.56,2.56,0,4.8,0.32,4.16,3.84,1.92,0.96,0,0.32,55.99,0.32,0,86.71,0.32,1.6,1.6,0.32,0,0,0.32,0.64,1.6
22Month,1.64,0,6.01,0,1.09,2.73,1.64,0,24.6,2.73,1.64,1.09,0,0.55,4.37,1.64,0,1.09,0.55,2.19,0,0,131.2,0,0,0.55,0.55,0.55,0,0,0,0
