stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,8.17,8.17,12.26,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,1.07,46,7.49,1.07,0,0,1.07
21Day,1.34,1.34,0,1.34,1.34,1.34,6.69,14.72,0,0,1.34,1.34,0
3Month,0,0.32,0,0,0,0.32,0.32,0,0,0,0,0,0
