stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,13.91,3.21,0,0,6.42,0,0,0,1.07,0,0,0,0
21Day,5.35,0,29.45,0,0,0,0,1.34,0,0,0,0,0,26.77,0,2.68,0,0,21.42,0,1.34,9.37,0,0,1.34,1.34,1.34,0,0,0,0,0,2.68
3Month,0,10.56,10.24,0.32,0.32,0,0.96,1.92,0,10.56,1.28,0.32,3.2,3.84,6.72,6.4,1.92,0,50.87,1.28,0,0,0.64,0.32,0,0.96,45.43,0.32,0,0.32,0.32,126.7,2.88
22Month,0.55,8.2,7.11,0,1.09,0.55,0.55,2.73,2.73,39.91,2.19,2.73,2.73,0,9.29,3.28,0,0.55,21.32,0,0,0,1.09,0,0,0,15.85,0,0,0,0,1.09,0.55
