stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,8.56,2.14,0,1.07,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,6.69,5.35,0,2.68,0,0,9.37,0,0,0
3Month,0,0.32,0,1.6,0.64,0.32,0.64,0.96,0,7.68,1.28,0,1.28,0.96,0.64,0.32,0.96,0.32,0,3.2,0.32,0,0.64,0,2.24,0,0,0.96,2.24,0.64
22Month,3.28,1.09,0.55,2.19,0,0,0,1.64,1.64,14.76,0,0.55,1.09,0,0,1.64,1.09,0,0.55,0,0.55,1.64,0.55,0,0,0.55,0,0,0,0.55
