stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte
24hpf,8.17,4.09,0,4.09,0,0,0,0,0,0,4.09,0,0
72hpf,0,26.74,0,0,0,0,0,0,1.07,0,0,0,0
21Day,8.03,84.33,0,29.45,0,0,0,0,1.34,4.02,0,5.35,0
3Month,0.64,0,0,0.32,0.32,0,0.32,0.32,0,5.76,0,0,0.64
22Month,0,0,0.55,0,0.55,2.73,0.55,0,0.55,1.09,0,0,0
