stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.96,0.32,0.96,0.32,0.32,0.32,0.32,0.64,0,0.32,0,0.32,2.88,0,31.67,0
22Month,0,0,1.64,0,0,0,1.09,0,0.55,0,0,0,1.09,0,0,0.55
