stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0
3Month,0.64,0,0,0,0,0,7.04,0,0,0,0.32
22Month,1.64,0.55,2.19,7.11,1.09,0.55,0,0.55,0.55,0.55,0
