stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0
3Month,0,6.08,0.32,0,0.32,1.28,2.56,0.32,0,8.32,0.64,0.32,0.64,0.32,0,0.32,0.64,0,0,0.32,1.28
22Month,0.55,3.28,0,0.55,0,1.64,10.39,0.55,0.55,3.28,0,0.55,2.19,0.55,0.55,0.55,0,0,0.55,0.55,0.55
