stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,16.35,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,1.07,0,0,7.49,1.07,0,9.63,6.42,1.07,4.28,0,0,0
21Day,0,0,0,0,0,1.34,0,0,2.68,1.34,6.69,0,0,4.02,1.34,1.34,2.68,0,1.34,1.34
3Month,0,0.32,0,0.64,1.6,0.32,0,0.32,0,0,0.64,0,0.32,0,0,0,0,0.32,0,0
22Month,0,0,0,0,2.73,0,0.55,0,0,0,0,0,0,0,0,0,0,3.83,0,0
