stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,20.43,0,0,0,0,0,0
72hpf,1.07,0,17.12,0,0,3.21,0,1.07,0
21Day,0,0,10.71,0,0,0,0,0,1.34
3Month,0,0.64,0.32,0.32,0.32,0.96,0.32,0,0
22Month,0,2.19,2.73,0.55,0,0,0,0,0
