stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,1.07,0,0,0,0,0,0,5.35,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0,0
3Month,0.32,0.96,0,0,0.96,0.32,0.96,0.32,0.96,0.64,0.64,2.24,0.32,0.64,18.88
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0
