stage,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Muscle_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
21Day,5.35,1.34,1.34,0,0
22Month,0,0,0,1.09,0
