stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,24.52,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,20.43,134.85,0,0,0,28.6,874.49,0,0,8.17,0,0,0,0,0,8.17,0,0
72hpf,1.07,0,0,6.42,5.35,2.14,0,0,0,1.07,0,1.07,0,7.49,0,3.21,5.35,1.07,49.21,0,1.07,1.07,25.67,48.14,0,0,89.86,0,0,23.54,1.07,0,266.38,0,0
21Day,5.35,0,6.69,33.46,1.34,46.85,0,1.34,0,4.02,0,8.03,1.34,24.09,6.69,0,20.08,12.05,103.07,0,0,2.68,40.16,33.46,0,0,112.44,25.43,0,8.03,4.02,13.39,871.39,0,9.37
3Month,0,0.32,0,2.88,0.32,0,0,0,0.32,13.76,0,9.92,0.96,7.04,0.96,0.32,1.92,14.72,17.92,19.84,0,0.32,0.32,0.64,0.32,0.32,0.64,0.64,14.08,0.64,0,0,8,2.24,0.96
22Month,0,0.55,0,2.73,0.55,0,0.55,0.55,0,9.84,0,15.31,0,4.92,3.83,0.55,0.55,3.28,33.89,6.56,2.73,0,0,2.73,0.55,0,0,0,7.65,1.09,0,0,10.39,0,0
