stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,14.98,9.63,0,0,2.14,0,0,2.14,1.07,0,0
21Day,0,0,1.34,4.02,0,1.34,1.34,0,0,1.34,0,0,0,0,1.34,4.02,0,1.34,4.02,6.69,0,1.34,1.34,1.34,0,0,0,0,0
3Month,0,1.28,0.64,6.08,0,0,0,0.64,0,13.76,1.92,0.32,2.88,2.24,2.56,1.92,0.96,0.32,0,0,0.32,0,0,0.32,2.88,0,0,0.64,1.6
22Month,0,1.09,0.55,4.37,0.55,0,0.55,1.64,0.55,26.24,0,0.55,1.64,0,2.19,1.64,0,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0
