stage,Endothelial_cell,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,2.14,0,0,1.07,1.07,51.35,10.7,0,1.07
21Day,1.34,4.02,1.34,0,0,0,42.83,5.35,4.02,4.02
3Month,0,0.32,0,0,0,0,0,0,0.32,0
22Month,0,0.55,0,0.55,0,0,0,0,0,0
