stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,20.43,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,5.35,23.54,0,1.07,0,0,4.28,0,2.14,1.07,0,0
21Day,1.34,0,1.34,58.9,4.02,1.34,0,1.34,2.68,0,0,0,0,0,0,17.4,6.69,21.42,4.02,2.68,1.34,0,2.68,0,0,2.68,0,1.34
3Month,0,0.32,0,10.56,0,0,0.64,0,1.28,0.32,0,0,2.24,0.32,0,5.12,0.32,5.12,0,0.32,0.32,0.64,0,0,0,0,0.96,1.6
22Month,0,0,0,4.37,0.55,0,0,0,2.73,1.64,0.55,0,21.32,0,1.09,14.21,0.55,1.09,3.28,1.64,0,0.55,0,0,0.55,1.09,0,0.55
