stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,3.21,0,3.21,1.07,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,5.35,9.37,0,12.05,0,0,1.34,2.68,1.34,0
3Month,0.32,3.2,1.6,0.64,0.32,0.32,1.92,0.32,0,0.96,0.64,0.32,3.84,0.96,5.44,0,0,0,0,0,1.28
22Month,0,1.09,0,0,0.55,7.11,7.11,0,0.55,0.55,0,0.55,0.55,0,1.64,0.55,0,0,0,0,0
