stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0,0.32,0,0,0.64,0,2.56,0.64,0.32,0,0.32,1.28,0.64,0,0.32,0.32,0.32,0.32
22Month,0.55,1.64,1.09,1.09,4.37,0.55,23.51,2.73,0,10.39,0,1.09,1.09,0.55,0,0,0,1.09
