stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0,0,0,0
72hpf,65.26,0,0,1.07,13.91,1.07,0,0,0
21Day,24.09,0,0,1.34,0,0,1.34,1.34,0
22Month,0,2.19,0.55,0,0,0,0,0,0.55
