stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,40.86,20.43,0,81.73,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,245.18,0,0,0,20.43,666.08,0,0,40.86,0,0,0,0,12.26,0,0,0
72hpf,6.42,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,0,25.67,0,0,1.07,156.19,34.23,0,0,17.12,0,0,4.28,2.14,1.07,0,0,0
21Day,1.34,0,0,4.02,1.34,8.03,0,2.68,0,0,0,0,0,0,0,2.68,0,2.68,2.68,8.03,0,0,0,279.75,8.03,0,0,6.69,4.02,1.34,2.68,0,0,0,0,1.34
3Month,0,0.96,0.64,4.8,0.64,0,0.32,0.32,0.96,8.64,0,0,8.64,1.28,1.6,2.56,0.32,1.92,4.8,3.84,0.96,0,0.64,8.32,0,0,0.32,0.32,0.64,22.08,3.84,0,0.32,0.32,5.76,7.68
22Month,0,3.28,2.19,9.29,0,0,0,0,2.73,33.35,2.19,0,59.59,1.64,0,7.11,0,0.55,9.29,18.04,0.55,2.19,0,16.95,0,1.09,0,0.55,0,27.33,8.2,1.64,0,0,0,4.37
