stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,36.78,0,12.26,4.09,0,0,0,0,0,4.09,0,0,0,0,0,69.47,0,28.6,0,0,0,0,0,12.26,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,2.14,0,9.63,1.07,0,0,0,0,0,0,0,0,0,0,1.07,13.91,0,7.49,0,1.07,0,0,3.21,1.07,0,0,0,0,0,0,4.28,0,0,0
21Day,1.34,8.03,0,56.22,1.34,0,0,2.68,0,0,0,0,0,0,0,1.34,10.71,0,13.39,0,0,0,0,9.37,4.02,0,0,0,1.34,1.34,0,0,0,0,1.34
3Month,0,29.76,0.96,148.78,0.64,0.32,3.84,55.67,2.88,0.32,0,6.72,2.88,0.64,69.75,4.48,3.84,6.4,14.72,1.6,0,4.16,1.6,3.52,0,3.52,0.32,0,1.92,1.6,0.32,0.32,1.6,5.76,2.88
22Month,0,49.75,4.37,70.52,0,0,1.09,25.15,3.28,2.19,0,25.15,2.73,0.55,212.1,2.73,1.64,3.28,5.47,0,1.64,0.55,0,7.11,0,2.73,0,0.55,0,0.55,0.55,0,1.64,0,0.55
