stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,4.09,0,0,8.17,0,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,1.07,16.05,0,7.49,1.07,1.07,14.98,0,0,0
21Day,1.34,0,0,0,0,0,10.71,2.68,2.68,1.34,0,6.69,1.34,0,0
3Month,0,0,0,0,0.64,0,0.32,0,0,0,0,0,0,0.32,0.32
22Month,0,1.09,0.55,0,1.64,0,0,0,0,0,0,0,0,0,0
