stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,2.68,0,0,1.34,0,0,0,0,0
3Month,0.64,0.64,7.68,0,0.96,0.64,0,25.28,2.24,0.32,5.44,0.64,2.88,1.6,3.84,0.64,0,0.64,0.96,0,0,0.32,0,1.6,2.24,0,0.64,2.24
22Month,3.28,0,7.65,2.19,0.55,4.92,1.09,98.4,2.19,0,7.11,0.55,0,3.83,3.28,0,1.64,0,0,0,2.19,1.64,0,0,0,0.55,0,1.64
