stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,0,4.09,0
72hpf,2.14,1.07,0,0,0,0,0,1.07,0
21Day,1.34,0,1.34,1.34,2.68,0,1.34,4.02,2.68
