stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,3.21,1.07,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,4.02,29.45,1.34,0,1.34,0,0,1.34,0,0,0,0,10.71,0,5.35,0,0,6.69,0,0,5.35,0,4.02,1.34,0,0,1.34,0,0,0,0
3Month,4.8,12.16,0,0.32,1.28,0.32,0,16.64,2.56,0.32,8.64,0.32,8,1.6,6.08,0.64,0,0.96,0.96,0.64,0,1.28,0,0.64,0.32,1.6,0,0,0.32,0.64,0.32
22Month,25.69,10.39,0,0,2.19,0,3.83,57.4,1.09,0.55,13.12,0,4.92,1.64,10.93,0,1.09,1.64,0,0,0,0.55,0,0,0,1.09,0,0.55,0,0,1.09
