stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
3Month,0.32,3.52,3.2,2.24,4.16,0.64,0.96,2.24,0.96,1.28,0.96,0.32,0,0.64,4.48
22Month,0,0,0,0.55,0.55,0,0,0,0,0,0,0.55,0,0,0
