stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,2.14,2.14,0,5.35,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,16.06,0,0,4.02,2.68,0,0,0,0,0,0,0,0
3Month,0,1.28,0.32,21.12,0.64,0.96,0,2.88,0.64,0,1.28,1.92,0.96,2.56,1.92,0.32,0.32,1.28,0.32,2.24,0,0.64,1.92,0.32,38.71,0.64,0.64
22Month,0,0.55,0,1.09,0,0,0.55,3.83,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,7.11,0,0
