stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,20.43,0,0,0,0,8.17,212.49,0,8.17,0,0,0,0,0,0
72hpf,1.07,3.21,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,0,4.28,0,0,0,0,7.49,20.33,0,4.28,0,0,2.14,0,0,0
21Day,6.69,0,0,17.4,0,0,0,6.69,0,0,0,1.34,0,9.37,0,1.34,2.68,0,13.39,0,0,2.68,0,9.37,20.08,0,13.39,1.34,0,1.34,0,0,4.02
3Month,0,0.32,0.32,3.52,0,0,0,0,0,0.64,0,5.76,0.96,0.64,0.96,0.32,0.32,1.6,0.64,0.64,0,0.32,0.64,0,0.32,0.32,0,0,1.28,0,0,1.28,2.56
22Month,0,1.09,0,2.19,0,0,0.55,0,0.55,2.19,3.28,45.37,0.55,2.19,0.55,0,0.55,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0.55,0,2.19
