stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,28.6,4.09,0,0,0,0,4.09,57.21,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,2.14,12.84,0,0,0,0,36.37,3.21,2.14,1.07,0,13.91,1.07,0,0,0,1.07,0,0,0
21Day,4.02,0,0,9.37,0,2.68,1.34,0,0,1.34,0,0,0,0,2.68,0,0,1.34,8.03,14.72,0,0,4.02,0,17.4,4.02,1.34,1.34,0,8.03,1.34,0,1.34,0,0,0,0,0
3Month,0,2.88,0.32,8,0,0,0,0.32,0.32,11.52,0,0,8.64,6.72,1.92,1.92,0.96,2.56,13.44,12.8,1.6,0,1.92,0.32,1.6,0.32,1.92,0.32,0,1.6,1.28,3.2,0.32,0,0.64,8,0.64,13.44
22Month,0,1.64,0.55,2.73,0.55,0,0,0.55,0.55,13.12,7.11,0,67.79,9.29,4.92,1.64,0,0.55,34.44,14.76,0.55,2.19,2.73,0,1.09,0,2.19,0.55,0.55,0,0,3.28,0,0.55,0,0,0,13.12
