stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,7.49,2.14,0,0,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,1.34,0,0,0,0,0,1.34,0,1.34,12.05,4.02,0,0,0,1.34,0,0,2.68,0,0,0,0
3Month,0,0,2.56,0,0.64,1.92,0.96,1.6,0.96,0.96,0,0.64,0,0.32,0.32,0,0,0.32,0.64,0,0.64,0.64,0.32,1.28
22Month,0,0.55,0.55,0.55,0.55,16.95,0,1.64,0,1.09,0,0,0,0.55,0,0.55,0,0,1.64,0,0,0.55,0,0
